EPOCHS,30
BATCHS,64
learning rate,0.001
""
,train_result,test_result,test_bounding
TPR,0.8430559668344685,0.9401820546163849,0.850187265917603
FPR,0.01750450908754567,0.003921234336373711,0.019619157530294286
accurary,0.96366,0.99264,0.963
Recall,0.8430559668344685,0.9401820546163849,0.850187265917603
Precision,0.882653852115951,0.9401820546163849,0.8697318007662835
F1_score,0.8624006058311245,0.9401820546163849,0.8598484848484849
