EPOCHS,30
BATCHS,64
learning rate,0.001
""
,train_result,test_result,test_bounding
TPR,0.8298045602605864,0.9356306892067621,0.8367041198501872
FPR,0.015966794616843177,0.003409768988151053,0.01754183496826313
accurary,0.9632,0.99284,0.963
Recall,0.8298045602605864,0.9356306892067621,0.8367041198501872
Precision,0.8903097696584591,0.9473337722185649,0.880220646178093
F1_score,0.8589930262855391,0.9414458619561662,0.857910906298003
