EPOCHS,30
BATCHS,64
learning rate,0.001
""
,train_result,test_result,test_bounding
TPR,0.8600088836245188,0.9479843953185956,0.8704119850187266
FPR,0.020741802710077233,0.004731054471059586,0.02388920946335834
accurary,0.96315,0.99236,0.962
Recall,0.8600088836245188,0.9479843953185956,0.8704119850187266
Precision,0.8662292148236522,0.9292543021032504,0.8487947406866326
F1_score,0.8631078420446525,0.9385259092372062,0.8594674556213018
