EPOCHS,30
BATCHS,64
learning rate,0.001
""
,train_result,test_result,test_bounding
TPR,0.8508291382884217,0.9421326397919376,0.8651685393258427
FPR,0.018926605928872034,0.004176967010485039,0.02192729371032891
accurary,0.96348,0.99252,0.963
Recall,0.8508291382884217,0.9421326397919376,0.8651685393258427
Precision,0.8753236862147753,0.9366515837104072,0.8587360594795539
F1_score,0.8629026203168405,0.9393841166936792,0.8619402985074627
