EPOCHS,10
BATCHS,64
learning rate,0.001
""
,train_result,test_result,test_bounding
TPR,0.8009327805744744,0.9213263979193758,0.8112359550561797
FPR,0.012625445127873098,0.0028130594152246187,0.014310444316214657
accurary,0.96219,0.99252,0.9624
Recall,0.8009327805744744,0.9213263979193758,0.8112359550561797
Precision,0.9083200402988834,0.9554956169925826,0.8972659486329743
F1_score,0.8512529997246154,0.938099966898378,0.8520849724626278
